model,rep,fold,accuracy,precision,recall,f1,roc_auc,pr_auc
GraphSAGE,0,2,98.79518072289156,95.38461538461539,100.0,97.63779527559055,0.9996549939623943,0.9989839349718382
GAT-LR,0,2,97.18875502008032,91.04477611940298,98.38709677419355,94.57364341085271,0.9899948249094358,0.9564183964840849
Majority,0,3,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,0,3,77.91164658634538,100.0,11.29032258064516,20.28985507246377,0.9941348973607038,0.9809957509041166
Centrality:BETWEENNESS,0,3,76.70682730923694,100.0,6.451612903225806,12.121212121212121,0.927376229084009,0.8323014691284829
Centrality:CLOSENESS,0,3,63.05220883534136,40.25974025974026,100.0,57.407407407407405,0.9806796618940832,0.9506536847534384
Centrality:EIGENVECTOR,0,3,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.9852509918923581,0.9562954927582843
Centrality:CLUSTERING,0,3,68.67469879518072,5.555555555555555,1.6129032258064515,2.5,0.500733137829912,0.2286232511993217
RWR,0,3,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9787821286872521,0.9430481768591041
LogReg,0,3,96.78714859437751,89.70588235294117,98.38709677419355,93.84615384615384,0.9969811971709506,0.9907497809327251
RandomForest,0,3,96.78714859437751,90.9090909090909,96.7741935483871,93.75,0.997498706227359,0.9929914964360613
GradBoost,0,3,97.18875502008032,92.3076923076923,96.7741935483871,94.48818897637796,0.9981024667931688,0.9947248899151905
MLP,0,3,96.3855421686747,92.06349206349206,93.54838709677419,92.80000000000001,0.9963774366051406,0.9892593100892787
GCN,0,3,81.92771084337349,58.94736842105262,90.32258064516128,71.3375796178344,0.9434190098326721,0.8701680653003554
GraphSAGE,0,3,97.18875502008032,89.85507246376811,100.0,94.65648854961832,0.994393651888908,0.982621730309551
GAT-LR,0,3,96.3855421686747,88.40579710144928,98.38709677419355,93.12977099236642,0.9918923581162671,0.9710656466485743
Majority,0,4,74.69879518072288,0.0,0.0,0.0,0.5,0.25301204819277107
Centrality:DEGREE,0,4,77.51004016064257,100.0,11.11111111111111,20.0,0.9943676395289299,0.9839755080127583
Centrality:BETWEENNESS,0,4,77.10843373493977,100.0,9.523809523809524,17.391304347826086,0.8742959549411162,0.7452076553568737
Centrality:CLOSENESS,0,4,53.01204819277109,35.0,100.0,51.85185185185185,0.9763184843830005,0.9401611753155793
Centrality:EIGENVECTOR,0,4,77.10843373493977,100.0,9.523809523809524,17.391304347826086,0.9962450930192865,0.9902095663610104
Centrality:CLUSTERING,0,4,66.66666666666666,14.285714285714285,6.349206349206349,8.791208791208792,0.5703191670933606,0.2688329952492057
RWR,0,4,78.714859437751,100.0,15.873015873015872,27.397260273972602,0.9743130227001194,0.9380004665801519
LogReg,0,4,98.79518072289156,96.875,98.4126984126984,97.63779527559055,0.9996586448199352,0.999026546645594
RandomForest,0,4,97.99196787148594,98.33333333333333,93.65079365079364,95.9349593495935,0.9982078853046594,0.9951880396881123
GradBoost,0,4,99.19678714859438,100.0,96.82539682539682,98.38709677419355,0.9990612732548216,0.997478890436637
MLP,0,4,98.39357429718876,100.0,93.65079365079364,96.72131147540983,0.9988052568697731,0.9965904507815488
GCN,0,4,84.33734939759037,62.244897959183675,96.82539682539682,75.77639751552795,0.9856630824372761,0.9709163417836324
GraphSAGE,0,4,99.19678714859438,100.0,96.82539682539682,98.38709677419355,0.9999146612049838,0.9997519841269842
GAT-LR,0,4,94.77911646586345,94.64285714285714,84.12698412698413,89.07563025210085,0.9860044376173408,0.9597371248464126
Majority,1,0,75.1004016064257,0.0,0.0,0.0,0.5,0.24899598393574296
Centrality:DEGREE,1,0,78.714859437751,100.0,14.516129032258066,25.352112676056336,0.9968949456615491,0.9904401066880258
Centrality:BETWEENNESS,1,0,77.10843373493977,100.0,8.064516129032258,14.925373134328357,0.9339313437985165,0.8206693701337988
Centrality:CLOSENESS,1,0,46.98795180722892,31.958762886597935,100.0,48.4375,0.9879679144385027,0.9665202529604504
Centrality:EIGENVECTOR,1,0,79.51807228915662,100.0,17.741935483870968,30.136986301369863,0.9965499396239434,0.990284938818959
Centrality:CLUSTERING,1,0,67.46987951807229,4.761904761904762,1.6129032258064515,2.4096385542168677,0.5522252889425565,0.24792932901063086
