gene,ic,label,degree,score_LogReg,score_RandomForest,score_GradBoost,score_MLP,score_GCN,score_GraphSAGE,score_GAT-LR,sfari_score,eagle,syndromic
ARHGAP5,0.0093734939759036,0,7,2.574299919199271e-05,0.0,0.00014486835577464483,9.478634061433246e-07,0.053598221216816455,0.00723776406280293,0.019726548430028856,2.0,,0.0
CDH8,0.029863453815261,0,20,0.01187861423266877,0.006999999999999999,0.0001397274654856767,7.470551374197745e-05,0.12448926828801632,0.011973646802742394,0.019719437126068426,2.0,,0.0
MEIS2,0.0207630522088353,0,19,0.0012539942675239852,0.0,0.00015266373739239436,1.4401201523538647e-05,0.048847479829696366,0.017306760053028114,0.019688330736457236,1.0,7.5,1.0
RBM27,0.0059116465863453,0,6,4.082736809032381e-06,0.0,0.00013665659522136512,9.892834761766157e-09,0.011992042838755879,0.0049777776372319504,0.019664943866796326,2.0,,0.0
AKAP9,0.0400481927710843,0,26,0.11576432557529819,0.0005,0.00016186569858380901,0.0013722324159551197,0.6393451541662216,0.030564752591089928,0.019653304922704545,2.0,,0.0
FHIT,0.0299357429718875,0,21,0.012099793669981259,0.007,0.00014226681532345743,5.495517398785495e-05,0.17969828844070435,0.010597797685291982,0.01965258410811943,2.0,,0.0
RAPGEF4,0.0352449799196787,0,26,0.022936209495057765,0.0,0.00015061856247545707,6.497397337403777e-05,0.2984377406537533,0.023096491096268323,0.019535534534952603,2.0,,0.0
NPTN,0.0163132530120481,0,11,0.00021486851138469718,0.0,0.00014590053661331392,1.3875634729705002e-05,0.484970785677433,5.544751282642903e-05,0.019502605333774792,3.0,,0.0
NPFFR2,0.0031004016064257,0,2,5.817437597753838e-07,0.0,0.00014726397394275095,9.150721098691319e-10,0.03891804891139827,0.004060687238670294,0.0194860053930338,3.0,,0.0
DRD3,0.0475903614457831,0,29,0.113110472845586,0.011000000000000001,0.00015343457848223201,0.001953312509574818,0.6209714710712433,0.0032705387347959913,0.019441565265879035,2.0,,0.0
PJA1,0.0084819277108433,0,6,1.637808070457417e-05,0.0,0.00014889898606908856,5.3460215846053396e-08,0.042882243636995554,0.01273216903969434,0.01935640096780844,3.0,,1.0
DOLK,0.0074698795180722,0,7,1.4685173029758167e-05,0.0,0.0001514990564336176,1.080833489854814e-07,0.03190874239362529,0.00916988309472801,0.019306753995639095,,,1.0
AMT,0.006144578313253,0,7,8.69197181811604e-06,0.0,0.00014495855577253435,2.0289233834981887e-08,0.020093391379119196,0.0067702892830538985,0.019283413679092358,2.0,,0.0
TRIM8,0.0037590361445783,0,3,5.2554979886634e-06,0.0,0.0001403192430022514,7.428916623946989e-08,0.03532905010797549,1.8347584971493608e-06,0.019265227568481817,3.0,,1.0
CADPS2,0.0136144578313253,0,8,8.553970672724645e-05,0.0,0.00015912126638530747,8.683053109902673e-08,0.3931063041090965,0.011913931392471433,0.019261064999454902,2.0,,0.0
KCNA3,0.044144578313253,0,27,0.05396118133763286,0.0145,0.00015923355383217925,0.0006469328719901995,0.5273954793810844,0.008808888121166092,0.019250224600482924,3.0,,0.0
PPFIA3,0.0604658634538152,1,36,0.5648394537959522,0.5305,0.019878957282929165,0.4710719889538635,0.7818768620491028,0.5777384117245674,0.01924262914690189,3.0,,1.0
GALNT13,0.0141606425702811,0,13,9.332095386850158e-05,0.0,0.00014948141771554697,6.671675468327063e-07,0.018004379131298338,0.004920070803803124,0.01915926336536662,2.0,,0.0
