stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000160382	9606.ENSP00000265713	ACTL6B	KAT6A	9606	0.535	0	0	0	0.103	0.405	0	0.199
9606.ENSP00000160382	9606.ENSP00000360162	ACTL6B	SMARCA1	9606	0.537	0	0	0	0.087	0.113	0	0.474
9606.ENSP00000160382	9606.ENSP00000311827	ACTL6B	MSL2	9606	0.551	0	0	0	0	0	0.54	0.064
9606.ENSP00000160382	9606.ENSP00000387393	ACTL6B	KANSL1	9606	0.552	0	0	0	0	0	0.54	0.068
9606.ENSP00000160382	9606.ENSP00000295987	ACTL6B	SYN1	9606	0.556	0	0	0	0.312	0.046	0	0.378
9606.ENSP00000160382	9606.ENSP00000359216	ACTL6B	PTBP2	9606	0.591	0	0	0	0.048	0	0	0.588
9606.ENSP00000160382	9606.ENSP00000351446	ACTL6B	WDR5	9606	0.608	0	0	0	0.103	0.071	0.54	0.098
9606.ENSP00000160382	9606.ENSP00000264709	ACTL6B	DNMT3A	9606	0.617	0	0	0	0.067	0.093	0.5	0.202
9606.ENSP00000160382	9606.ENSP00000309555	ACTL6B	HCFC1	9606	0.625	0	0	0	0.086	0.161	0.54	0.063
9606.ENSP00000160382	9606.ENSP00000326563	ACTL6B	KDM3B	9606	0.651	0	0	0	0	0.045	0.65	0
9606.ENSP00000160382	9606.ENSP00000386660	ACTL6B	KDM3A	9606	0.662	0	0	0	0	0.045	0.65	0.072
9606.ENSP00000160382	9606.ENSP00000312244	ACTL6B	MSL3	9606	0.683	0	0	0	0.125	0.212	0.54	0.12
9606.ENSP00000160382	9606.ENSP00000306983	ACTL6B	YEATS2	9606	0.694	0	0	0	0	0.273	0.54	0.161
9606.ENSP00000160382	9606.ENSP00000379946	ACTL6B	BICRA	9606	0.833	0	0	0	0.049	0.096	0.72	0.39
9606.ENSP00000160382	9606.ENSP00000262518	ACTL6B	SRCAP	9606	0.849	0	0	0	0	0.745	0	0.434
9606.ENSP00000160382	9606.ENSP00000349723	ACTL6B	BCL11B	9606	0.886	0	0	0	0.057	0.073	0.72	0.59
9606.ENSP00000160382	9606.ENSP00000496168	ACTL6B	BCL11A	9606	0.895	0	0	0	0.073	0.073	0.72	0.618
9606.ENSP00000160382	9606.ENSP00000258484	ACTL6B	EPC2	9606	0.905	0	0	0	0	0.743	0.54	0.265
9606.ENSP00000160382	9606.ENSP00000374212	ACTL6B	EP400	9606	0.937	0	0	0	0	0.811	0.54	0.339
9606.ENSP00000160382	9606.ENSP00000352925	ACTL6B	TRRAP	9606	0.938	0	0	0	0	0.795	0.54	0.401
9606.ENSP00000160382	9606.ENSP00000494750	ACTL6B	ACTB	9606	0.95	0	0	0	0	0.313	0.8	0.668
9606.ENSP00000160382	9606.ENSP00000490491	ACTL6B	ARID1B	9606	0.964	0	0	0	0	0.095	0.8	0.818
9606.ENSP00000160382	9606.ENSP00000335044	ACTL6B	ARID2	9606	0.968	0	0	0	0.08	0.091	0.8	0.835
9606.ENSP00000160382	9606.ENSP00000320485	ACTL6B	ARID1A	9606	0.978	0	0	0	0	0.095	0.8	0.888
9606.ENSP00000160382	9606.ENSP00000343896	ACTL6B	SMARCA4	9606	0.98	0	0	0	0.048	0.511	0.72	0.867
9606.ENSP00000160382	9606.ENSP00000371638	ACTL6B	SMARCA2	9606	0.982	0	0	0	0.048	0.685	0.72	0.816
9606.ENSP00000160382	9606.ENSP00000449396	ACTL6B	SMARCC2	9606	0.991	0	0	0	0	0.684	0.72	0.909
9606.ENSP00000161863	9606.ENSP00000356520	YTHDC2	DHX9	9606	0.407	0	0	0	0.085	0	0	0.378
9606.ENSP00000161863	9606.ENSP00000361965	YTHDC2	ADA	9606	0.407	0	0	0	0.058	0	0	0.396
9606.ENSP00000161863	9606.ENSP00000290650	YTHDC2	UBR1	9606	0.41	0	0	0	0.408	0	0	0.044
9606.ENSP00000161863	9606.ENSP00000494040	YTHDC2	DDX3X	9606	0.433	0	0	0	0.217	0.122	0	0.24
9606.ENSP00000161863	9606.ENSP00000346175	YTHDC2	SETDB2	9606	0.439	0	0	0	0.125	0.097	0	0.347
9606.ENSP00000161863	9606.ENSP00000271640	YTHDC2	SETDB1	9606	0.449	0	0	0	0.126	0.097	0	0.358
9606.ENSP00000161863	9606.ENSP00000436679	YTHDC2	NXF1	9606	0.453	0	0	0	0.053	0	0	0.446
9606.ENSP00000161863	9606.ENSP00000229214	YTHDC2	KRR1	9606	0.471	0	0	0	0.203	0.268	0	0.166
9606.ENSP00000161863	9606.ENSP00000460348	YTHDC2	PRPF8	9606	0.472	0	0	0	0.067	0.398	0	0.136
