gene,sfari_symbols,sfari_score,eagle,syndromic,n_reports
KIAA0232,KIAA0232,1.0,,0,5
KIF13B,KIF13B,2.0,,0,7
KIF14,KIF14,2.0,,0,8
KIF1A,KIF1A,2.0,2.95,1,22
KIF5C,KIF5C,2.0,,1,20
KIRREL3,KIRREL3,2.0,,0,20
KIZ,KIZ,3.0,,0,2
KLF16,KLF16,2.0,,0,1
KLF7,KLF7,3.0,,0,15
KLHL20,KLHL20,1.0,,0,5
KMT2A,KMT2A,1.0,18.55,1,58
KMT2B,KMT2B,3.0,,0,15
KMT2C,KMT2C,1.0,14.1,1,55
KMT2D,KMT2D,3.0,,0,16
KMT2E,KMT2E,1.0,38.65,1,28
KMT5B,KMT5B,1.0,14.05,0,35
KNG1,KNG1,3.0,,0,2
KPTN,KPTN,,,1,10
KRR1,KRR1,2.0,,0,4
KSR2,KSR2,3.0,,0,5
LAMA1,LAMA1,2.0,,0,18
LAMB1,LAMB1,2.0,,0,12
LARP1,LARP1,3.0,,0,4
LAS1L,LAS1L,3.0,,0,7
LDB1,LDB1,1.0,4.0,0,5
LDLR,LDLR,3.0,,0,4
LEMD3,LEMD3,2.0,,0,5
LEO1,LEO1,2.0,,0,6
LEP,LEP,2.0,,0,1
LHX2,LHX2,2.0,,0,5
LILRB2,LILRB2,2.0,,0,5
LIN7B,LIN7B,2.0,,0,4
LMX1B,LMX1B,2.0,,0,4
LNPK,LNPK,,,1,6
LRBA,LRBA,2.0,,0,13
LRFN2,LRFN2,2.0,,0,8
LRFN5,LRFN5,2.0,,0,8
LRP1,LRP1,2.0,,0,14
LRP2,LRP2,2.0,,0,23
LRRC1,LRRC1,2.0,,0,8
LRRC4,LRRC4,2.0,,0,6
LRRC4C,LRRC4C,1.0,1.25,0,4
LZTR1,LZTR1,1.0,,0,23
LZTS2,LZTS2,2.0,,0,5
MACF1,MACF1,3.0,,1,14
MACROD2,MACROD2,2.0,,0,25
MADD,MADD,3.0,,0,12
MAGEC3,MAGEC3,1.0,,0,6
MAGEL2,MAGEL2,1.0,,1,33
MAN1B1,MAN1B1,3.0,,0,8
MAOA,MAOA,2.0,,0,23
MAOB,MAOB,2.0,,0,7
MAP1A,MAP1A,1.0,0.0,0,4
MAP1B,MAP1B,2.0,,0,18
MAP4K1,MAP4K1,3.0,,0,6
MAP4K4,MAP4K4,2.0,,0,3
MAPK3,MAPK3,2.0,,0,7
MAPK8IP1,MAPK8IP1,3.0,,0,5
MAPK8IP3,MAPK8IP3,2.0,,1,13
MAPT,MAPT,3.0,,0,5
MARK1,MARK1,2.0,,0,12
MARK2,MARK2,2.0,20.05,0,12
MAST1,MAST1,3.0,,0,7
MAST3,MAST3,3.0,,0,11
MBD1,MBD1,2.0,,0,9
MBD3,MBD3,2.0,,0,4
MBD4,MBD4,2.0,,0,7
MBD5,MBD5,1.0,46.6,1,52
MBD6,MBD6,2.0,,0,4
MBOAT7,MBOAT7,1.0,5.25,1,25
MCM4,MCM4,2.0,,0,5
MCM6,MCM6,2.0,,0,5
MCPH1,MCPH1,2.0,,0,22
MDGA1,MDGA1,3.0,,0,8
MDGA2,MDGA2,2.0,,0,10
MECP2,MECP2,1.0,106.65,1,164
MED12L,MED12L,2.0,,1,8
MED13,MED13,1.0,9.3,1,26
MED13L,MED13L,1.0,35.0,1,63
MED23,MED23,2.0,,0,5
MEF2C,MEF2C,1.0,9.85,1,64
MEGF10,MEGF10,2.0,,0,8
MEGF11,MEGF11,2.0,,0,9
MEIS2,MEIS2,1.0,7.5,1,16
MET,MET,2.0,,0,44
METTL14,METTL14,3.0,,0,8
METTL26,METTL26,2.0,,0,2
MFRP,MFRP,2.0,,0,10
