gene,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,degree
CORO1A,0.00964630225080386,0.0004971544604266093,0.3563448868519049,0.005749048415747446,0.15151515151515152,12
CPEB4,0.006430868167202572,6.0186177951771756e-05,0.34963462619449126,0.006156983096331444,0.35714285714285715,8
CPSF7,0.016881028938906754,0.00019112598816758148,0.3386877212088211,0.011185039420196066,0.29523809523809524,21
CPT2,0.01045016077170418,0.0008035205280957381,0.3353099730458221,0.00546656338609424,0.24358974358974358,13
CPZ,0.0008038585209003215,0.0,0.23414266892527763,1.658112967950585e-05,0.0,1
CREBBP,0.11334405144694534,0.012701602242843458,0.4545122396784801,0.12869173469118664,0.19979736575481255,141
CRMP1,0.013665594855305467,0.00054500721855654,0.3407285675157491,0.0034642271799911425,0.23529411764705882,17
CSDE1,0.02090032154340836,0.0007853775619752867,0.381010719754977,0.018458156565036517,0.3446153846153846,26
CSMD1,0.02090032154340836,0.002471877766857732,0.3654524089306698,0.008418505409637202,0.13230769230769232,26
CSMD2,0.0008038585209003215,0.0,0.24497833792831825,4.3876977807257795e-05,0.0,1
CSMD3,0.017684887459807074,0.0016614631932066926,0.3645955451348183,0.010597335663456643,0.23376623376623376,22
CSNK1E,0.014469453376205787,0.0002832134874825433,0.3706793802145411,0.012901402152916854,0.3006535947712418,18
CSNK1G1,0.002411575562700965,4.770716867872367e-05,0.34166437791815435,0.0029378265567185703,0.0,3
CSNK2A1,0.04662379421221865,0.00536452253534274,0.41927873272665994,0.04976005406820786,0.2014519056261343,58
CSNK2B,0.02491961414790997,0.0012434566803652522,0.38573643410852715,0.02163371983110934,0.1913978494623656,31
CTCF,0.07315112540192927,0.006127032285690494,0.4308971250432975,0.09565172730870145,0.2774114774114774,91
CTNNA2,0.024115755627009645,0.0011660992991551552,0.3908262645303173,0.016028533871174415,0.26666666666666666,30
CTNNA3,0.022508038585209004,0.0006907973666999664,0.3985901954501762,0.019763105457172598,0.2804232804232804,28
CTNNB1,0.1752411575562701,0.06196458724933208,0.5050751116524563,0.14973299513797075,0.10692089798334249,218
CTNND1,0.02491961414790997,0.0029537956501536657,0.3961783439490446,0.01723133154651617,0.221505376344086,31
CTNND2,0.02090032154340836,0.0007508734296137812,0.38312288266091776,0.014445292775802246,0.24923076923076923,26
CTPS1,0.012861736334405145,0.0010513657299827867,0.34336185481645043,0.004718366544017138,0.16666666666666666,16
CTR9,0.027331189710610933,0.0005227863507793446,0.3710110348941247,0.03350852612963594,0.40106951871657753,34
CTTNBP2,0.013665594855305467,0.00045646085759739593,0.3654524089306698,0.010726736053701768,0.2867647058823529,17
CUL2,0.023311897106109324,0.0027179233876458665,0.3838321505708115,0.020400525010854296,0.23399014778325122,29
CUL3,0.04742765273311897,0.00909203157260535,0.42140921409214094,0.04166668813001787,0.19053185271770895,59
